表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法,※分野,※要確認
インドネシア,インドネシア|Indonesia,蝋防染の藍と香辛料,#313F6D,バティック藍,#BF2333,香辛料赤,#BEA03B,ウコン金,#2B8638,椰子緑,sf|dp,,,country_region,ひとことと色を書き直す
フランス,フランス|France,石灰岩の街と宮廷の金,#37569B,フレンチブルー,#612835,ブルゴーニュ,#E5E2CD,石灰岩クリーム,#C49F33,宮廷金,sf|dp,,,country_region,ひとことと色を書き直す
キューバ,キューバ|Cuba,褪せたパステルと葉巻,#89CECA,ハバナ水色,#E2A8BB,クラシックカー桃,#98734C,葉巻茶,#3C66B6,カリブ海青,sf|dp,,,country_region,ひとことと色を書き直す
ペルー,ペルー|Peru,アンデスの織物と高地の湖,#C9B469,インカ金,#C04137,アンデス赤,#DFD1BD,アルパカ白,#4172C2,高地湖青,sf|dp,,,country_region,ひとことと色を書き直す
ニュージーランド,ニュージーランド|New Zealand,翡翠と銀色の羊歯,#379A71,ポウナム緑,#B0BAC0,シルバーファーン,#3B6EB2,フィヨルド青,#0E0F11,火山黒,sf|dp,,,country_region,ひとことと色を書き直す
東北,東北|Tohoku,ブナの森と雪と祭り,#387A39,ブナ森緑,#8EC1D6,雪青,#CD5636,祭り朱,#D1AA6B,稲穂金,dp|sf,,,country_region,ひとことと色を書き直す
北陸,北陸|Hokuriku,日本海の鉛色と金箔,#4F74B8,日本海青,#F2F0EE,雪白,#1A1B20,漆黒,#C6A95E,金箔金,dkg|p,,対照トーン配色,country_region,ひとことと色を書き直す
信州,信州|Shinshu|Nagano,高原の霧と林檎,#40A63F,高原緑,#888B91,山霧灰,#835F47,蕎麦殻茶,#B24224,林檎赤,lt|sf,,,country_region,ひとことと色を書き直す
九州,九州|Kyushu,火山灰と温泉と茶畑,#292F37,火山灰,#6BC5C9,温泉青緑,#327432,茶畑緑,#D0B66F,焼酎琥珀,dp|v,,,country_region,ひとことと色を書き直す
ブルターニュ,ブルターニュ|Brittany,大西洋の風と花崗岩,#3E94CF,大西洋青,#A1A7AB,花崗岩灰,#EAE9E8,海泡白,#3C9C3E,荒野緑,sf|dp,,,country_region,ひとことと色を書き直す
ブルゴーニュ地方,ブルゴーニュ地方|Burgundy Region,葡萄畑と樽の匂い,#612C37,葡萄酒赤,#666E46,葡萄葉緑,#F6F2E9,石造クリーム,#725032,樽茶,dp|d,,,country_region,ひとことと色を書き直す
シチリア,シチリア|Sicily,火山の黒と檸檬,#34749B,地中海青,#ECEDA0,檸檬黄,#232429,火山黒,#3C8E86,陶器青緑,v|dk,,対照色相配色,country_region,ひとことと色を書き直す
アマルフィ海岸,アマルフィ海岸|Amalfi Coast,崖に貼りついた白い街,#437AA9,海青,#E9DE9C,檸檬黄,#E3E1DC,崖白,#A52A68,ブーゲンビリア,sf|dp,,,country_region,ひとことと色を書き直す
バスク地方,バスク地方|Basque Country,荒れる海と赤い唐辛子,#3F6DA6,大西洋青,#2D8734,丘陵緑,#839198,石壁灰,#C43D48,ピメント赤,sf|dp,,,country_region,ひとことと色を書き直す
アルガルヴェ,アルガルヴェ|Algarve,崖の黄土と青緑の海,#75D7C9,海青緑,#C5A43C,崖黄土,#F5F4F4,漆喰白,#E1A951,橙果,b|p,,,country_region,ひとことと色を書き直す
スコットランド高地,スコットランド高地|Scottish Highlands,ヒースの紫と泥炭,#6B418F,ヒース紫,#83955A,苔緑,#2C4560,湖紺,#A1A8AB,石灰,d|dk,,,country_region,ひとことと色を書き直す
コッツウォルズ,コッツウォルズ|Cotswolds,蜂蜜色の石の村,#D2BF67,蜂蜜石,#349149,牧草緑,#6E8298,曇り空,#E38AAA,薔薇桃,sf|ltg,,ナチュラルハーモニー,country_region,ひとことと色を書き直す
バイエルン,バイエルン|Bavaria,森と漆喰と麦,#3A6CD0,アルプス青,#27532B,森緑,#E8E7E6,漆喰白,#9F6F42,木造茶,sf|dp,,,country_region,ひとことと色を書き直す
黒い森,黒い森|Black Forest,日を通さない針葉樹,#30703D,針葉樹緑,#1F222A,影黒,#77868F,霧灰,#77422B,木肌茶,dkg|dp,,ドミナントトーン配色,country_region,ひとことと色を書き直す
スイスアルプス,スイスアルプス|Swiss Alps,氷河と高山草,#89C5DB,氷河青,#E2E1DF,雪白,#29872A,高山草緑,#889AA4,岩灰,p|b,,トーン・オン・トーン配色,country_region,ひとことと色を書き直す
ダルマチア海岸,ダルマチア海岸|Dalmatian Coast,アドリア海と赤い瓦,#4384BC,アドリア青,#EDEBDF,石灰白,#284F2C,松緑,#A6602E,屋根土,sf|dp,,,country_region,ひとことと色を書き直す
アトラス山脈,アトラス山脈|Atlas Mountains,赤い岩と雪の頂,#A65A49,岩赤,#4681C7,高地青,#37843D,谷緑,#F2F2F1,雪白,sf|dp,,,country_region,ひとことと色を書き直す
ラージャスターン,ラージャスターン|Rajasthan,砂漠の宮殿と孔雀,#CF7D8D,宮殿桃,#CAA645,砂漠金,#388079,孔雀青,#D64024,ターバン赤,sf|dp,,対照色相配色,country_region,ひとことと色を書き直す
ケララ,ケララ|Kerala,椰子と水路と香辛料,#3C8F43,椰子緑,#4B9CA1,水路青緑,#BA9342,香辛料金,#D74935,寺院赤,sf|dp,,,country_region,ひとことと色を書き直す
カリフォルニア,カリフォルニア|California,太平洋の夕焼けとレッドウッド,#4276C1,太平洋青,#D9C0A4,砂浜金,#D3764D,夕焼け珊瑚,#2B5030,レッドウッド緑,sf|dp,,,country_region,ひとことと色を書き直す
アメリカ南西部,アメリカ南西部|American Southwest,ターコイズと砂岩,#41CECF,ターコイズ,#BD6E38,砂岩赤,#9CB890,セージ緑,#8FC6D9,空青,sf|dp,,,country_region,ひとことと色を書き直す
太平洋岸北西部,太平洋岸北西部|Pacific Northwest|PNW,雨と針葉樹と苔,#2C5635,針葉樹緑,#92979A,雨空灰,#3D6DC2,湾青,#35963B,苔緑,dp|g,,トーナル配色,country_region,ひとことと色を書き直す
ケベック,ケベック|Quebec,冬の石造りと楓,#29699F,冬青,#CF453E,楓赤,#A0A5A8,石造灰,#2A5531,森緑,dp|p,,セパレーション,country_region,ひとことと色を書き直す
パタゴニア,パタゴニア|Patagonia,風の吹き抜ける草原,#78D2CF,氷河青,#888C91,風灰,#B39741,草原黄土,#1E3141,湖紺,ltg|sf,,,country_region,ひとことと色を書き直す
アンデス,アンデス|Andes,高地の空と織物の赤,#8EBBD1,高地空青,#C94746,織物赤,#7B3698,鉱石紫,#D5BB54,草原黄,sf|dp,,,country_region,ひとことと色を書き直す
カリブ海,カリブ海|Caribbean,遠浅の青緑と珊瑚,#75C4BA,海青緑,#DA8A5B,珊瑚桃,#E4E1DA,砂浜白,#307A42,熱帯葉緑,b|lt,,類似色相配色,country_region,ひとことと色を書き直す
